Subject,RT,Choice,Accuracy,Target,Prime,PrimeDuration,Contrast,Block,Angle,FixTime,PrimeTime,TargetTime,MaskTime,BlockType
3,1.174257e+00,0,1,0,1,100,1,0,55,1.212181e+00,1.312184e+00,1.412174e+00,1.512182e+00,0
3,6.537792e-01,0,1,0,1,100,1,0,55,1.197266e+00,1.297261e+00,1.397277e+00,1.496981e+00,0
3,3.865172e-01,0,1,0,0,100,1,0,40,1.197619e+00,1.297615e+00,1.397630e+00,1.497641e+00,0
3,4.098367e-01,0,1,0,1,100,1,0,55,1.197922e+00,1.297963e+00,1.397914e+00,1.497942e+00,0
3,2.164369e-01,1,1,1,1,100,1,0,55,1.197952e+00,1.297941e+00,1.397961e+00,1.497968e+00,0
3,3.584770e-01,1,1,1,1,100,1,0,40,1.197800e+00,1.297798e+00,1.397825e+00,1.497833e+00,0
3,3.753087e-01,1,1,1,0,100,1,0,55,1.197815e+00,1.297812e+00,1.397830e+00,1.497839e+00,0
3,2.795221e-01,0,1,0,0,100,1,0,40,1.197814e+00,1.297790e+00,1.397807e+00,1.497814e+00,0
3,3.308187e-01,1,1,1,0,100,1,0,45,1.197778e+00,1.297766e+00,1.397784e+00,1.497792e+00,0
3,3.723968e-01,1,1,1,1,100,1,0,50,1.197927e+00,1.297909e+00,1.397928e+00,1.497934e+00,0
3,4.127013e-01,0,1,0,1,100,1,0,45,1.197837e+00,1.297833e+00,1.397849e+00,1.497860e+00,0
3,2.747563e-01,0,1,0,0,100,1,0,40,1.197868e+00,1.297862e+00,1.397881e+00,1.497890e+00,0
3,2.627382e-01,1,1,1,1,100,1,0,40,1.197889e+00,1.297881e+00,1.397898e+00,1.497909e+00,0
3,3.473974e-01,1,1,1,0,100,1,0,50,1.197877e+00,1.297860e+00,1.397867e+00,1.497894e+00,0
3,2.843182e-01,1,1,1,0,100,1,0,45,1.197841e+00,1.297818e+00,1.397839e+00,1.497869e+00,0
3,2.561760e-01,0,1,0,0,100,1,0,50,1.197830e+00,1.297833e+00,1.397854e+00,1.497856e+00,0
3,3.565135e-01,0,1,0,0,100,3.981072e-01,0,55,1.197990e+00,1.297984e+00,1.398001e+00,1.498011e+00,0
3,6.851581e-01,0,1,0,1,100,3.981072e-01,0,35,1.198002e+00,1.297996e+00,1.398014e+00,1.498020e+00,0
3,5.527175e-01,1,1,1,0,100,3.981072e-01,0,40,1.197803e+00,1.297795e+00,1.397808e+00,1.497810e+00,0
3,3.291124e-01,1,1,1,0,100,3.981072e-01,0,35,1.197906e+00,1.297900e+00,1.397916e+00,1.497926e+00,0
3,2.991130e-01,1,1,1,1,100,3.981072e-01,0,35,1.197880e+00,1.297875e+00,1.397893e+00,1.497900e+00,0
3,2.461988e-01,0,1,0,0,100,3.981072e-01,0,35,1.197805e+00,1.297794e+00,1.397814e+00,1.497821e+00,0
3,3.068490e-01,0,1,0,1,100,3.981072e-01,0,35,1.197760e+00,1.297767e+00,1.397784e+00,1.497787e+00,0
3,2.775290e-01,0,1,0,1,100,3.981072e-01,0,35,1.197780e+00,1.297773e+00,1.397794e+00,1.497799e+00,0
3,4.575009e-01,0,0,1,0,100,3.981072e-01,0,45,1.197694e+00,1.297688e+00,1.397705e+00,1.497714e+00,0
3,4.139075e-01,0,1,0,0,100,3.981072e-01,0,35,1.197861e+00,1.297851e+00,1.397866e+00,1.497875e+00,0
3,3.322027e-01,1,1,1,0,100,3.981072e-01,0,40,1.197971e+00,1.297967e+00,1.397985e+00,1.497992e+00,0
3,5.819521e-01,0,1,0,1,100,3.981072e-01,0,40,1.197833e+00,1.297828e+00,1.397847e+00,1.497853e+00,0
3,4.773951e-01,0,0,1,1,100,3.981072e-01,0,50,1.197846e+00,1.297838e+00,1.397854e+00,1.497865e+00,0
3,3.852923e-01,0,1,0,0,100,3.981072e-01,0,55,1.197997e+00,1.297973e+00,1.397999e+00,1.498000e+00,0
3,4.324497e-01,1,1,1,1,100,3.981072e-01,0,50,1.197851e+00,1.297847e+00,1.397869e+00,1.497876e+00,0
3,3.022480e-01,1,1,1,1,100,3.981072e-01,0,55,1.197893e+00,1.297889e+00,1.397907e+00,1.497917e+00,0
3,3.449359e-01,1,1,1,0,100,1.584893e-01,0,55,1.197873e+00,1.297869e+00,1.397885e+00,1.497875e+00,0
3,2.900035e-01,1,0,0,0,100,1.584893e-01,0,40,1.197848e+00,1.297842e+00,1.397861e+00,1.497869e+00,0
3,5.971396e-01,1,1,1,1,100,1.584893e-01,0,45,1.197555e+00,1.297552e+00,1.397554e+00,1.497580e+00,0
3,3.560559e-01,1,1,1,1,100,1.584893e-01,0,35,1.197802e+00,1.297787e+00,1.397803e+00,1.497813e+00,0
3,3.250583e-01,1,1,1,0,100,1.584893e-01,0,55,1.197911e+00,1.297901e+00,1.397921e+00,1.497930e+00,0
3,3.110378e-01,1,0,0,0,100,1.584893e-01,0,50,1.197833e+00,1.297826e+00,1.397844e+00,1.497856e+00,0
3,3.933797e-01,1,0,0,1,100,1.584893e-01,0,55,1.197655e+00,1.297649e+00,1.397667e+00,1.497675e+00,0
3,4.081965e-01,1,1,1,0,100,1.584893e-01,0,35,1.197815e+00,1.297810e+00,1.397833e+00,1.497838e+00,0
3,4.389777e-01,1,0,0,1,100,1.584893e-01,0,55,1.197841e+00,1.297838e+00,1.397856e+00,1.497866e+00,0
3,1.556060e+00,0,1,0,1,100,1.584893e-01,0,50,1.197897e+00,1.297887e+00,1.397907e+00,1.497932e+00,0
3,4.047237e-01,0,1,0,0,100,1.584893e-01,0,40,1.197775e+00,1.297786e+00,1.397789e+00,1.497800e+00,0
3,4.273237e-01,1,1,1,1,100,1.584893e-01,0,50,1.197859e+00,1.297858e+00,1.397875e+00,1.497887e+00,0
3,4.328318e-01,1,1,1,0,100,1.584893e-01,0,55,1.197887e+00,1.297882e+00,1.397903e+00,1.497906e+00,0
3,7.746354e-01,0,1,0,0,100,1.584893e-01,0,35,1.197796e+00,1.297791e+00,1.397820e+00,1.497820e+00,0
3,3.664199e-01,1,1,1,1,100,1.584893e-01,0,40,1.197830e+00,1.297825e+00,1.397842e+00,1.497853e+00,0
3,3.988691e-01,0,1,0,1,100,1.584893e-01,0,35,1.197901e+00,1.297901e+00,1.397922e+00,1.497926e+00,0
3,3.578356e-01,1,0,0,1,100,6.309573e-02,0,55,1.197873e+00,1.297867e+00,1.397891e+00,1.497901e+00,0
3,5.508476e-01,0,0,1,0,100,6.309573e-02,0,35,1.197872e+00,1.297869e+00,1.397886e+00,1.497896e+00,0
3,4.635952e-01,1,0,0,1,100,6.309573e-02,0,55,1.197743e+00,1.297746e+00,1.397763e+00,1.497754e+00,0
3,1.651661e+00,0,0,1,1,100,6.309573e-02,0,50,1.197820e+00,1.297815e+00,1.397832e+00,1.497843e+00,0
3,1.736579e+00,1,0,0,1,100,6.309573e-02,0,55,1.197867e+00,1.297862e+00,1.397880e+00,1.497891e+00,0
3,6.012954e-01,0,0,1,0,100,6.309573e-02,0,40,1.197880e+00,1.297869e+00,1.397887e+00,1.497897e+00,0
3,6.162704e-01,0,1,0,0,100,6.309573e-02,0,40,1.197958e+00,1.297952e+00,1.397971e+00,1.497970e+00,0
3,4.461729e-01,1,0,0,0,100,6.309573e-02,0,50,1.197858e+00,1.297854e+00,1.397871e+00,1.497880e+00,0
3,1.243234e+00,1,0,0,1,100,6.309573e-02,0,40,1.197812e+00,1.297796e+00,1.397818e+00,1.497845e+00,0
3,4.640911e-01,0,1,0,0,100,6.309573e-02,0,45,1.197870e+00,1.297875e+00,1.397903e+00,1.497904e+00,0
3,8.203707e-01,0,0,1,0,100,6.309573e-02,0,40,1.197886e+00,1.297882e+00,1.397897e+00,1.497908e+00,0
3,2.146126e+00,1,0,0,0,100,6.309573e-02,0,40,1.197857e+00,1.297850e+00,1.397867e+00,1.497877e+00,0
3,1.619461e+00,1,1,1,1,100,6.309573e-02,0,40,1.197821e+00,1.297815e+00,1.397833e+00,1.497846e+00,0
3,8.326671e-01,1,1,1,1,100,6.309573e-02,0,50,1.197842e+00,1.297841e+00,1.397858e+00,1.497865e+00,0
3,8.304736e-01,1,1,1,0,100,6.309573e-02,0,40,1.197777e+00,1.297774e+00,1.397791e+00,1.497800e+00,0
3,8.680566e-01,1,1,1,1,100,6.309573e-02,0,35,1.198156e+00,1.298160e+00,1.397867e+00,1.497888e+00,0
3,4.560107e-01,1,1,1,0,100,2.511886e-02,0,55,1.197862e+00,1.297861e+00,1.397873e+00,1.497881e+00,0
3,6.766665e-01,0,1,0,1,100,2.511886e-02,0,55,1.197835e+00,1.297836e+00,1.397852e+00,1.497868e+00,0
3,4.485553e-01,0,1,0,0,100,2.511886e-02,0,50,1.197865e+00,1.297870e+00,1.397891e+00,1.497887e+00,0
3,1.437383e+00,1,1,1,1,100,2.511886e-02,0,50,1.197848e+00,1.297844e+00,1.397841e+00,1.497851e+00,0
3,6.827010e-01,1,0,0,0,100,2.511886e-02,0,45,1.198183e+00,1.298184e+00,1.397894e+00,1.497904e+00,0
3,8.700470e-01,1,0,0,1,100,2.511886e-02,0,55,1.197864e+00,1.297850e+00,1.397879e+00,1.497876e+00,0
3,1.842229e+00,0,1,0,1,100,2.511886e-02,0,40,1.197727e+00,1.297720e+00,1.397736e+00,1.497745e+00,0
3,5.111060e-01,1,1,1,1,100,2.511886e-02,0,50,1.197886e+00,1.297884e+00,1.397899e+00,1.497912e+00,0
3,4.654476e-01,1,0,0,1,100,2.511886e-02,0,55,1.197781e+00,1.297785e+00,1.397801e+00,1.497810e+00,0
3,1.606014e+00,0,0,1,0,100,2.511886e-02,0,40,1.197911e+00,1.297905e+00,1.397927e+00,1.497932e+00,0
3,4.366553e-01,1,0,0,0,100,2.511886e-02,0,55,1.198109e+00,1.297772e+00,1.397791e+00,1.497798e+00,0
3,1.193503e+00,0,0,1,1,100,2.511886e-02,0,35,1.197868e+00,1.297865e+00,1.397881e+00,1.497891e+00,0
3,4.329003e-01,1,1,1,1,100,2.511886e-02,0,40,1.197836e+00,1.297833e+00,1.397830e+00,1.497847e+00,0
3,8.221541e-01,1,1,1,0,100,2.511886e-02,0,40,1.197703e+00,1.297698e+00,1.397715e+00,1.497725e+00,0
3,7.721916e-01,0,0,1,0,100,2.511886e-02,0,35,1.198219e+00,1.297911e+00,1.397928e+00,1.497937e+00,0
3,1.131852e+00,0,1,0,0,100,2.511886e-02,0,55,1.197879e+00,1.297887e+00,1.397886e+00,1.497891e+00,0
3,8.060028e-01,1,1,1,0,100,1.000000e-02,0,45,1.198056e+00,1.298050e+00,1.397759e+00,1.497774e+00,0
3,9.484121e-01,1,1,1,1,100,1.000000e-02,0,55,1.197875e+00,1.297873e+00,1.397890e+00,1.497900e+00,0
3,1.004932e+00,0,0,1,0,100,1.000000e-02,0,40,1.197903e+00,1.297900e+00,1.397919e+00,1.497929e+00,0
3,7.556362e-01,1,0,0,1,100,1.000000e-02,0,35,1.197695e+00,1.297693e+00,1.397709e+00,1.497735e+00,0
