Output,RNG.number,Start.time,End.time,Initials,Notes
Subject_2.csv-Subject_2.mat,333,2016\3\9\3:59 PM,2016\3\9\4:42 PM,KWP,Pilot priming run
Subject_4.csv-Subject_4.mat,962,2016\3\9\6:08 PM,2016\3\9\6:45 PM,KWP,Pilot priming run
Subject_1.csv-Subject_1.mat,4813,2016\3\9\4:02 PM,2016\3\9\4:41 PM,KWP,Pilot psychometric run
Subject_3.csv-Subject_3.mat,7826,2016\3\9\6:11 PM,2016\3\9\6:57 PM,KWP,Pilot psychometric run
