Subject,RT,Choice,Accuracy,Target,Prime,PrimeDuration,Contrast,Block,Angle,FixTime,PrimeTime,TargetTime,MaskTime,BlockType
3,3.603493e+00,1,0,0,0,150,1,0,55,1.156119e+00,1.308893e+00,1.406085e+00,1.503264e+00,0
3,3.066621e+00,0,0,1,0,150,1,0,55,1.148062e+00,1.300814e+00,1.398032e+00,1.495237e+00,0
3,1.743913e+00,1,0,0,1,150,1,0,55,1.150576e+00,1.303331e+00,1.400493e+00,1.497701e+00,0
3,9.317574e-01,1,1,1,1,150,1,0,35,1.150507e+00,1.303241e+00,1.400411e+00,1.497630e+00,0
3,7.165344e-01,1,1,1,1,150,1,0,55,1.150734e+00,1.303487e+00,1.400653e+00,1.497877e+00,0
3,7.004372e-01,1,1,1,1,150,1,0,45,1.150696e+00,1.303431e+00,1.400601e+00,1.497820e+00,0
3,6.735524e-01,0,1,0,0,150,1,0,50,1.150727e+00,1.303469e+00,1.400688e+00,1.497857e+00,0
3,6.111851e-01,1,1,1,0,150,1,0,35,1.150638e+00,1.303376e+00,1.400606e+00,1.497786e+00,0
3,5.782028e-01,0,1,0,0,150,1,0,50,1.150819e+00,1.303520e+00,1.400689e+00,1.497928e+00,0
3,7.327796e-01,0,1,0,1,150,1,0,55,1.150749e+00,1.303483e+00,1.400662e+00,1.497869e+00,0
3,1.022831e+00,0,1,0,0,150,1,0,40,1.150632e+00,1.303383e+00,1.400593e+00,1.497791e+00,0
3,9.574475e-01,1,1,1,0,150,1,0,40,1.150619e+00,1.303378e+00,1.400596e+00,1.497813e+00,0
3,5.373137e-01,0,1,0,1,150,1,0,50,1.150663e+00,1.303466e+00,1.400611e+00,1.497821e+00,0
3,5.494834e-01,1,1,1,0,150,1,0,50,1.150799e+00,1.303611e+00,1.400772e+00,1.497980e+00,0
3,6.444322e-01,0,1,0,1,150,1,0,55,1.150774e+00,1.303518e+00,1.400720e+00,1.497962e+00,0
3,5.368230e-01,1,1,1,1,150,1,0,40,1.150739e+00,1.303450e+00,1.400668e+00,1.497882e+00,0
3,1.333005e+00,1,1,1,1,150,3.981072e-01,0,35,1.150703e+00,1.303460e+00,1.400656e+00,1.497843e+00,0
3,1.082299e+00,1,0,0,0,150,3.981072e-01,0,55,1.150654e+00,1.303402e+00,1.400592e+00,1.497815e+00,0
3,1.128583e+00,1,1,1,1,150,3.981072e-01,0,55,1.150692e+00,1.303441e+00,1.400650e+00,1.497851e+00,0
3,7.191704e-01,1,1,1,0,150,3.981072e-01,0,35,1.150757e+00,1.303465e+00,1.400674e+00,1.497877e+00,0
3,8.392542e-01,1,1,1,0,150,3.981072e-01,0,40,1.150701e+00,1.303442e+00,1.400614e+00,1.497843e+00,0
3,8.247509e-01,1,1,1,1,150,3.981072e-01,0,50,1.150796e+00,1.303505e+00,1.400710e+00,1.497942e+00,0
3,8.087476e-01,1,1,1,0,150,3.981072e-01,0,35,1.150685e+00,1.303418e+00,1.400678e+00,1.497841e+00,0
3,7.420703e-01,0,1,0,0,150,3.981072e-01,0,45,1.150768e+00,1.303488e+00,1.400705e+00,1.497929e+00,0
3,1.777433e+00,0,1,0,1,150,3.981072e-01,0,45,1.150727e+00,1.303469e+00,1.400666e+00,1.497898e+00,0
3,6.978063e-01,0,1,0,1,150,3.981072e-01,0,50,1.150570e+00,1.303335e+00,1.400579e+00,1.497745e+00,0
3,1.486548e+00,1,0,0,0,150,3.981072e-01,0,35,1.150689e+00,1.303479e+00,1.400610e+00,1.497840e+00,0
3,1.195834e+00,1,1,1,0,150,3.981072e-01,0,45,1.150692e+00,1.303448e+00,1.400650e+00,1.497899e+00,0
3,8.846624e-01,1,1,1,0,150,3.981072e-01,0,45,1.150669e+00,1.303403e+00,1.400635e+00,1.497906e+00,0
3,1.389616e+00,1,1,1,1,150,3.981072e-01,0,55,1.150775e+00,1.303512e+00,1.400695e+00,1.497932e+00,0
3,5.803003e-01,1,1,1,1,150,3.981072e-01,0,50,1.150976e+00,1.303729e+00,1.400612e+00,1.497864e+00,0
3,6.070273e-01,0,1,0,1,150,3.981072e-01,0,55,1.150657e+00,1.303408e+00,1.400646e+00,1.497833e+00,0
