Subject,Trial,Block,Block_type,Foil_contrast,Target_contrast,Target_to_foil_contrast,Max_illuminance,Angle,Fixation_time,Placeholder_time,Prime_time,Target_time,Mask_time,Feedback_time,Prime_duration,Prime_rotation,Prime_type,Target_rotation,Correct_answer,Choice_rotation,Choice_display,RT,Choice,Accuracy,Choice_label,Prime_rotation_label,Target_rotation_label,Choice_rotation_label,Prime_type_label,Correct_answer_label,Onscreen_choices_labels,Block_type_label,Experiment
5,1,1,-2,5.000000e-02,2.500000e-01,5,76,55,1.950064e-02,4.000682e-01,1.000022e-01,2.830414e-01,7.847790e-06,4.000000e-01,100,2,1,0,0,2,3,2.313081e+00,0,1,Left,Vertical,Left,Vertical,Neither,Left,None,Guided practice,C
5,1,1,-2,5.000000e-02,2.500000e-01,5,76,40,1.747949e-02,4.000389e-01,1.000106e-01,2.833743e-01,8.149771e-06,4.000000e-01,100,2,1,1,1,2,3,8.408705e-01,1,1,Right,Vertical,Right,Vertical,Neither,Right,None,Guided practice,C
5,1,1,-2,5.000000e-02,2.500000e-01,5,76,45,1.829387e-02,4.000697e-01,1.000109e-01,2.833505e-01,7.848023e-06,4.000000e-01,100,2,1,1,1,2,3,4.755247e-01,1,1,Right,Vertical,Right,Vertical,Neither,Right,None,Guided practice,C
5,1,1,-2,5.000000e-02,2.500000e-01,5,76,40,1.839378e-02,4.000766e-01,1.000064e-01,2.833369e-01,8.150004e-06,4.000000e-01,100,2,1,1,1,2,3,1.504512e-01,1,1,Right,Vertical,Right,Vertical,Neither,Right,None,Guided practice,C
5,1,1,-2,5.000000e-02,2.500000e-01,5,76,40,1.050448e-02,4.000540e-01,1.000118e-01,2.833514e-01,7.546041e-06,4.000000e-01,100,2,1,0,0,2,3,2.170830e-01,0,1,Left,Vertical,Left,Vertical,Neither,Left,None,Guided practice,C
5,1,2,-1,5.000000e-02,2.500000e-01,5,76,45,3.157884e-01,3.000316e-01,1.000049e-01,8.333313e-02,7.546274e-06,4.000000e-01,100,2,1,0,0,2,3,6.251509e-01,0,1,Left,Vertical,Left,Vertical,Neither,Left,None,Exclusion practice,C
5,1,2,-1,5.000000e-02,2.500000e-01,5,76,50,3.182919e-01,3.000159e-01,1.000278e-01,8.337901e-02,7.546041e-06,4.000000e-01,100,2,1,0,0,2,3,7.504660e-01,0,1,Left,Vertical,Left,Vertical,Neither,Left,None,Exclusion practice,C
5,1,2,-1,5.000000e-02,2.500000e-01,5,76,40,3.189140e-01,3.000080e-01,1.000278e-01,8.332136e-02,7.847790e-06,4.000000e-01,100,2,1,0,0,2,3,4.504713e-01,0,1,Left,Vertical,Left,Vertical,Neither,Left,None,Exclusion practice,C
5,1,2,-1,5.000000e-02,2.500000e-01,5,76,45,3.106791e-01,3.000014e-01,1.000767e-01,8.327186e-02,7.546041e-06,4.000000e-01,100,2,1,0,0,2,3,3.671647e-01,0,1,Left,Vertical,Left,Vertical,Neither,Left,None,Exclusion practice,C
5,1,2,-1,5.000000e-02,2.500000e-01,5,76,45,3.107329e-01,3.000038e-01,1.000127e-01,8.333857e-02,7.546041e-06,4.000000e-01,100,2,1,0,0,2,3,5.338563e-01,0,1,Left,Vertical,Left,Vertical,Neither,Left,None,Exclusion practice,C
5,1,2,-1,5.000000e-02,2.500000e-01,5,76,55,3.188199e-01,3.000304e-01,1.000393e-01,8.330566e-02,7.847790e-06,4.000000e-01,100,2,1,0,0,2,3,4.671310e-01,0,1,Left,Vertical,Left,Vertical,Neither,Left,None,Exclusion practice,C
5,1,2,-1,5.000000e-02,2.500000e-01,5,76,45,3.188528e-01,3.000201e-01,1.000115e-01,8.334068e-02,7.244293e-06,4.000000e-01,100,2,1,1,1,2,3,6.504941e-01,0,0,Left,Vertical,Right,Vertical,Neither,Right,None,Exclusion practice,C
5,1,2,-1,5.000000e-02,2.500000e-01,5,76,45,3.187966e-01,3.000512e-01,9.999614e-02,8.337207e-02,7.847790e-06,4.000000e-01,100,2,1,1,1,2,3,4.504532e-01,1,1,Right,Vertical,Right,Vertical,Neither,Right,None,Exclusion practice,C
5,1,2,-1,5.000000e-02,2.500000e-01,5,76,40,3.106909e-01,3.000129e-01,1.000266e-01,8.327971e-02,7.848023e-06,4.000000e-01,100,2,1,0,0,2,3,4.421636e-01,0,1,Left,Vertical,Left,Vertical,Neither,Left,None,Exclusion practice,C
5,1,2,-1,5.000000e-02,2.500000e-01,5,76,55,3.106028e-01,3.000334e-01,1.000076e-01,8.334400e-02,7.546274e-06,4.000000e-01,100,2,1,1,1,2,3,3.754374e-01,1,1,Right,Vertical,Right,Vertical,Neither,Right,None,Exclusion practice,C
5,1,2,-1,5.000000e-02,2.500000e-01,5,76,40,3.107144e-01,3.000433e-01,1.000145e-01,8.332740e-02,7.848023e-06,4.000000e-01,100,2,1,0,0,2,3,2.921447e-01,0,1,Left,Vertical,Left,Vertical,Neither,Left,None,Exclusion practice,C
5,1,2,-1,5.000000e-02,2.500000e-01,5,76,45,3.108222e-01,3.000113e-01,1.000302e-01,8.333343e-02,7.244293e-06,4.000000e-01,100,2,1,0,0,2,3,4.337872e-01,0,1,Left,Vertical,Left,Vertical,Neither,Left,None,Exclusion practice,C
